CourseCode;Name;StartDate;EndDate;Location;MaterialType;Description;MatCode;MainCategory;SubCategory1;SubCategory2
570070;AZ-300 Azure Architect Technologies;13.1.2020;16.1.2020;Pasila;;Sovellusarkkitehti ja IT-osaaja, joka haluat syventää Azure-osaamistasi. Tämä kurssi on laaja katsaus kaikkeen siihen, mitä Microsoft Azure tarjoaa - niin sovellusten arkkitehtuurin, identiteetin hallinnan kuin Azure-järjestelmien hallinnankin kannalta.;True;Technology;Infra;Microsoft Cloud-services;
570071;AZ-300 Azure Architect Technologies;13.1.2020;16.1.2020;Online;;Sovellusarkkitehti ja IT-osaaja, joka haluat syventää Azure-osaamistasi. Tämä kurssi on laaja katsaus kaikkeen siihen, mitä Microsoft Azure tarjoaa - niin sovellusten arkkitehtuurin, identiteetin hallinnan kuin Azure-järjestelmien hallinnankin kannalta.;True;Technology;Infra;Microsoft Cloud-services;
570087;AZ-300 Azure Architect Technologies;16.3.2020;19.3.2020;Pasila;;Sovellusarkkitehti ja IT-osaaja, joka haluat syventää Azure-osaamistasi. Tämä kurssi on laaja katsaus kaikkeen siihen, mitä Microsoft Azure tarjoaa - niin sovellusten arkkitehtuurin, identiteetin hallinnan kuin Azure-järjestelmien hallinnankin kannalta.;True;Technology;Infra;Microsoft Cloud-services;
570088;AZ-300 Azure Architect Technologies;16.3.2020;19.3.2020;Online;;Sovellusarkkitehti ja IT-osaaja, joka haluat syventää Azure-osaamistasi. Tämä kurssi on laaja katsaus kaikkeen siihen, mitä Microsoft Azure tarjoaa - niin sovellusten arkkitehtuurin, identiteetin hallinnan kuin Azure-järjestelmien hallinnankin kannalta.;True;Technology;Infra;Microsoft Cloud-services;
569908;20761 Querying Data with Transact-SQL;27.11.2019;28.11.2019;Pasila;PDF;Tarvitsetko syvällistä osaamista SQL Server -kyselyistä? Tällä kurssilla opit analyytikkotason TSQL-kieltä;True;Technology;Databases and Analytics;Database Programming;
569909;20761 Querying Data with Transact-SQL;27.11.2019;28.11.2019;Online;PDF;Tarvitsetko syvällistä osaamista SQL Server -kyselyistä? Tällä kurssilla opit analyytikkotason TSQL-kieltä;True;Technology;Databases and Analytics;Database Programming;
569873;Office 365 dokumentinhallinta;7.11.2019;8.11.2019;Pasila;PDF;Office 365 tuo mukanaan useita dokumentinhallintaan osallistuvia sovelluksia. Esimerkkeinä SharePoint, Teams, OneDrive, Stream, Yammer ja Delve tarjoavat kukin oman tapansa esittää, tallentaa tai tarjota dokumentteja. Kaikki käyttäjät eivät kuitenkaan käytä kaikkia sovelluksia, mutta dokumenttien tallentaminen ja käyttö yhdessä sovelluksessa saattaa vaikuttaa myös muiden sovellusten käyttöön ja niiden tarjoamiin mahdollisuuksiin. On siis aika selvittää mitä Office 365 -ympäristöissä dokumenttien osalta tapahtuu ja mitkä ovat ne hyvät käytännöt ja sovellusten asetukset, millä dokumentit saadaan oikeasti hallintaan.;True;Technology;Infra;Microsoft Cloud-services;
569876;Office 365 dokumentinhallinta;7.11.2019;8.11.2019;Online;PDF;Office 365 tuo mukanaan useita dokumentinhallintaan osallistuvia sovelluksia. Esimerkkeinä SharePoint, Teams, OneDrive, Stream, Yammer ja Delve tarjoavat kukin oman tapansa esittää, tallentaa tai tarjota dokumentteja. Kaikki käyttäjät eivät kuitenkaan käytä kaikkia sovelluksia, mutta dokumenttien tallentaminen ja käyttö yhdessä sovelluksessa saattaa vaikuttaa myös muiden sovellusten käyttöön ja niiden tarjoamiin mahdollisuuksiin. On siis aika selvittää mitä Office 365 -ympäristöissä dokumenttien osalta tapahtuu ja mitkä ovat ne hyvät käytännöt ja sovellusten asetukset, millä dokumentit saadaan oikeasti hallintaan.;True;Technology;Infra;Microsoft Cloud-services;
569859;Oracle WebLogic Server 12c: Troubleshooting Workshop;23.9.2019;24.9.2019;Pasila;PDF;Learn how to diagnose and troubleshoot Oracle WebLogic Server issues and increase the performance and scalability of your organization’s applications and services.;True;Technology;Databases and Analytics;Oracle-courses;
569833;Windows Server 2016/2019 uudet ominaisuudet;3.10.2019;4.10.2019;Pasila;PDF;Windows Server 2016 ja Windows Server 2019 toivat mukanaan monia uusia ominaisuuksia sekä parannuksia olemassa oleviin ominaisuuksiin.;True;Technology;Infra;Server Operating Systems;
569834;Windows Server 2016/2019 uudet ominaisuudet;3.10.2019;4.10.2019;Online;PDF;Windows Server 2016 ja Windows Server 2019 toivat mukanaan monia uusia ominaisuuksia sekä parannuksia olemassa oleviin ominaisuuksiin.;True;Technology;Infra;Server Operating Systems;
569835;Windows Server 2016/2019 uudet ominaisuudet;9.12.2019;10.12.2019;Pasila;PDF;Windows Server 2016 ja Windows Server 2019 toivat mukanaan monia uusia ominaisuuksia sekä parannuksia olemassa oleviin ominaisuuksiin.;True;Technology;Infra;Server Operating Systems;
569836;Windows Server 2016/2019 uudet ominaisuudet;9.12.2019;10.12.2019;Online;PDF;Windows Server 2016 ja Windows Server 2019 toivat mukanaan monia uusia ominaisuuksia sekä parannuksia olemassa oleviin ominaisuuksiin.;True;Technology;Infra;Server Operating Systems;
569764;AZ-500T00 Microsoft Azure Security Technologies;2.12.2019;4.12.2019;Pasila;PDF;Kuinka varmistat, että ylläpitämäsi Azure-ympäristö on tietoturvallinen? Entä millä toiminnoilla vastaat erilaisiin haasteisiin ja kuinka kyseiset toiminnot kannattaa toteuttaa?;True;Technology;Information Security;;
569765;AZ-500T00 Microsoft Azure Security Technologies;2.12.2019;4.12.2019;Online;PDF;Kuinka varmistat, että ylläpitämäsi Azure-ympäristö on tietoturvallinen? Entä millä toiminnoilla vastaat erilaisiin haasteisiin ja kuinka kyseiset toiminnot kannattaa toteuttaa?;True;Technology;Information Security;;
569580;Masterclass: Hacking and Securing Windows Infrastructure ;14.10.2019;17.10.2019;Pasila;;This course covers all aspects of Windows infrastructure security that everybody talks about and during the course you will learn how to implement them! Course is a great workshop that teaches how to implement securing technologies one at a time. EVENT IS SOLD OUT.;False;Technology;Information Security;;
569469;Oracle Service Bus 12c: Administration;16.9.2019;17.9.2019;Pasila;PDF;;True;Technology;Databases and Analytics;Oracle-courses;
569726;AZ-203 Developing Solutions for Microsoft Azure -valmennus;11.10.2019;15.11.2019;Pasila;;Valmennu Microsoft Certified: Azure Developer Associate -sertifiointiin. Neljän päivän kurssilla käydään läpi kaikki kuusi AZ-203 Microsoftin MOC -kurssia, jotka valmentavat AZ-203 Developing Solutions for Microsoft Azure -tenttiin. Voit osallistua joko luokassa Pasilassa tai online.;True;Technology;Infra;Microsoft Cloud-services;
569893;AZ-203 Developing Solutions for Microsoft Azure -valmennus;11.10.2019;15.11.2019;Online;;Valmennu Microsoft Certified: Azure Developer Associate -sertifiointiin. Neljän päivän kurssilla käydään läpi kaikki kuusi AZ-203 Microsoftin MOC -kurssia, jotka valmentavat AZ-203 Developing Solutions for Microsoft Azure -tenttiin. Voit osallistua joko luokassa Pasilassa tai online.;True;Technology;Infra;Microsoft Cloud-services;
570064;AZ-203 Developing Solutions for Microsoft Azure;9.12.2019;12.12.2019;Online;;Valmennu Microsoft Certified: Azure Developer Associate -sertifiointiin. Neljän päivän kurssilla käydään läpi kaikki kuusi AZ-203 Microsoftin MOC -kurssia, jotka valmentavat AZ-203 Developing Solutions for Microsoft Azure -tenttiin. Voit osallistua joko luokassa Pasilassa tai online.;True;Technology;Infra;Microsoft Cloud-services;
570065;AZ-203 Developing Solutions for Microsoft Azure;9.12.2019;12.12.2019;Pasila;;Valmennu Microsoft Certified: Azure Developer Associate -sertifiointiin. Neljän päivän kurssilla käydään läpi kaikki kuusi AZ-203 Microsoftin MOC -kurssia, jotka valmentavat AZ-203 Developing Solutions for Microsoft Azure -tenttiin. Voit osallistua joko luokassa Pasilassa tai online.;True;Technology;Infra;Microsoft Cloud-services;
570066;AZ-203 Developing Solutions for Microsoft Azure;10.2.2020;13.2.2020;Pasila;;Valmennu Microsoft Certified: Azure Developer Associate -sertifiointiin. Neljän päivän kurssilla käydään läpi kaikki kuusi AZ-203 Microsoftin MOC -kurssia, jotka valmentavat AZ-203 Developing Solutions for Microsoft Azure -tenttiin. Voit osallistua joko luokassa Pasilassa tai online.;True;Technology;Infra;Microsoft Cloud-services;
570067;AZ-203 Developing Solutions for Microsoft Azure;10.2.2020;13.2.2020;Online;;Valmennu Microsoft Certified: Azure Developer Associate -sertifiointiin. Neljän päivän kurssilla käydään läpi kaikki kuusi AZ-203 Microsoftin MOC -kurssia, jotka valmentavat AZ-203 Developing Solutions for Microsoft Azure -tenttiin. Voit osallistua joko luokassa Pasilassa tai online.;True;Technology;Infra;Microsoft Cloud-services;
569471;RH295 Red Hat System Administration III: Linux Automation with exam;9.12.2019;13.12.2019;Pasila;Kirja tai muu tuloste;;True;Technology;Infra;Red Hat;
570186;RH295 Red Hat System Administration III: Linux Automation with exam;9.3.2020;13.3.2020;Pasila;Kirja tai muu tuloste;;True;Technology;Infra;Red Hat;
570187;RH295 Red Hat System Administration III: Linux Automation with exam;8.6.2020;12.6.2020;Pasila;Kirja tai muu tuloste;;True;Technology;Infra;Red Hat;
569470;RH294 Red Hat System Administration III: Linux Automation;9.12.2019;12.12.2019;Pasila;Kirja tai muu tuloste;;True;Technology;Infra;Red Hat;
570185;RH294 Red Hat System Administration III: Linux Automation;9.3.2020;12.3.2020;Pasila;Kirja tai muu tuloste;;True;Technology;Infra;Red Hat;
570188;RH294 Red Hat System Administration III: Linux Automation;8.6.2020;11.6.2020;Pasila;Kirja tai muu tuloste;;True;Technology;Infra;Red Hat;
569387;AZ-103T01 Azure Administrator Associate jaksotettu valmennus;9.9.2019;30.9.2019;Pasila;PDF;Olisiko aika päivittää infra-osaamisesi Azureen? Tällä kurssilla teet sen tehokkaasti, mutta työelämän ehdoilla opiskelemalla päivän viikossa neljän viikon ajan. Kurssipäivät ovat maanantaisin: 9.9./16.9./23.9./30.9.2019. Tämä koulutus sopii sinulle, jos osallistuminen monipäiväiselle kurssille on haastavaa mahduttaa kalenteriin. Sisältö vastaa täysin nelipäiväistä intensiivivalmennusta. &nbsp;;True;Technology;Infra;Microsoft Cloud-services;
569389;AZ-103T01 Azure Administrator Associate jaksotettu valmennus;9.9.2019;30.9.2019;Online;PDF;Olisiko aika päivittää infra-osaamisesi Azureen? Tällä kurssilla teet sen tehokkaasti, mutta työelämän ehdoilla opiskelemalla päivän viikossa neljän viikon ajan. Kurssipäivät ovat maanantaisin: 9.9./16.9./23.9./30.9.2019. Tämä koulutus sopii sinulle, jos osallistuminen monipäiväiselle kurssille on haastavaa mahduttaa kalenteriin. Sisältö vastaa täysin nelipäiväistä intensiivivalmennusta. &nbsp;;True;Technology;Infra;Microsoft Cloud-services;
569388;AZ-103T01 Azure Administrator Associate -hybridivalmennus, Fujitsu;9.9.2019;9.9.2019;Pasila;PDF;Olisiko aika päivittää infra-osaamisesi Azureen? Tällä kurssilla teet sen tehokkaasti, mutta työelämän ehdoilla opiskelemalla päivän viikossa neljän viikon ajan. Kurssipäivät ovat maanantaisin: 9.9./16.9./23.9./30.9.2019. Tämä koulutus sopii sinulle, jos osallistuminen monipäiväiselle kurssille on haastavaa mahduttaa kalenteriin. Sisältö vastaa täysin nelipäiväistä intensiivivalmennusta. &nbsp;;True;Technology;Infra;Microsoft Cloud-services;
569310;Scrum tutuksi -virtuaalikoulutus;3.9.2019;3.9.2019;Online;;Ketteryys on tapa ajatella, tapa suhtautua tekemiseen ja odottamattomaan, ei mikään metodi tai tiettyjen toimintojen mekaanista suorittamista. Osallistu mukavasti vaikka kotoasi mutta läsnä virtuaaliympäristössä!;True;Technology;Software Development;Agile;
570074;Scrum tutuksi -virtuaalikoulutus;21.11.2019;22.11.2019;Online;;Ketteryys on tapa ajatella, tapa suhtautua tekemiseen ja odottamattomaan, ei mikään metodi tai tiettyjen toimintojen mekaanista suorittamista. Osallistu mukavasti vaikka kotoasi mutta läsnä virtuaaliympäristössä!;False;Technology;Software Development;Agile;
569639;Tietotyön tehotreeni: Microsoft Stream;20.9.2019;20.9.2019;Online;;Tutustu organisaation sisäiseen Youtubeen!Koulutuksen kesto 1 tunti klo 13.00 - 14.00&nbsp;;True;Productivity;Co-operation and Communication;;
569640;Tietotyön tehotreeni: Microsoft Stream;14.10.2019;14.10.2019;Online;;Tutustu organisaation sisäiseen Youtubeen!Koulutuksen kesto 1 tunti klo 13.00 - 14.00&nbsp;;True;Productivity;Co-operation and Communication;;
569641;Tietotyön tehotreeni: Microsoft Stream;25.11.2019;25.11.2019;Online;;Tutustu organisaation sisäiseen Youtubeen!Koulutuksen kesto 1 tunti klo 13.00 - 14.00&nbsp;;True;Productivity;Co-operation and Communication;;
569642;Tietotyön tehotreeni: Microsoft Stream;19.12.2019;19.12.2019;Online;;Tutustu organisaation sisäiseen Youtubeen!Koulutuksen kesto 1 tunti klo 13.00 - 14.00&nbsp;;True;Productivity;Co-operation and Communication;;
569631;Tietotyön tehotreeni: Microsoft Forms;20.9.2019;20.9.2019;Online;;Tee kyselyjä ja kartoituksia helposti!Koulutuksen kesto 1 tunti klo 9.00 - 10.00;True;Productivity;Modern Work and Productivity;;
569632;Tietotyön tehotreeni: Microsoft Forms;14.10.2019;14.10.2019;Online;;Tee kyselyjä ja kartoituksia helposti!Koulutuksen kesto 1 tunti klo 9.00 - 10.00;True;Productivity;Modern Work and Productivity;;
569633;Tietotyön tehotreeni: Microsoft Forms;25.11.2019;25.11.2019;Online;;Tee kyselyjä ja kartoituksia helposti!Koulutuksen kesto 1 tunti klo 9.00 - 10.00;True;Productivity;Modern Work and Productivity;;
569634;Tietotyön tehotreeni: Microsoft Forms;19.12.2019;19.12.2019;Online;;Tee kyselyjä ja kartoituksia helposti!Koulutuksen kesto 1 tunti klo 9.00 - 10.00;True;Productivity;Modern Work and Productivity;;
569635;Tietotyön tehotreeni: Microsoft Planner;20.9.2019;20.9.2019;Online;;Suunnittele ja priorisoi tehtävät helposti ja reaaliaikaisesti!Koulutuksen kesto on 1 tunti klo 10.30 - 11.30;True;Productivity;Co-operation and Communication;;
569636;Tietotyön tehotreeni: Microsoft Planner;14.10.2019;14.10.2019;Online;;Suunnittele ja priorisoi tehtävät helposti ja reaaliaikaisesti!Koulutuksen kesto on 1 tunti klo 10.30 - 11.30;True;Productivity;Co-operation and Communication;;
569637;Tietotyön tehotreeni: Microsoft Planner;25.11.2019;25.11.2019;Online;;Suunnittele ja priorisoi tehtävät helposti ja reaaliaikaisesti!Koulutuksen kesto on 1 tunti klo 10.30 - 11.30;True;Productivity;Co-operation and Communication;;
569638;Tietotyön tehotreeni: Microsoft Planner;19.12.2019;19.12.2019;Online;;Suunnittele ja priorisoi tehtävät helposti ja reaaliaikaisesti!Koulutuksen kesto on 1 tunti klo 10.30 - 11.30;True;Productivity;Co-operation and Communication;;
569644;Tietotyön tehotreeni: Microsoft Teams;19.9.2019;19.9.2019;Online;;Kaikki tiimityöhön tarvittavat työkalut yhdessä paikassa!Koulutuksen kesto on 1 tunti klo 9.00 - 10.00;True;Productivity;Co-operation and Communication;;
569645;Tietotyön tehotreeni: Microsoft Teams;15.10.2019;15.10.2019;Online;;Kaikki tiimityöhön tarvittavat työkalut yhdessä paikassa!Koulutuksen kesto on 1 tunti klo 9.00 - 10.00;True;Productivity;Co-operation and Communication;;
569646;Tietotyön tehotreeni: Microsoft Teams;26.11.2019;26.11.2019;Online;;Kaikki tiimityöhön tarvittavat työkalut yhdessä paikassa!Koulutuksen kesto on 1 tunti klo 9.00 - 10.00;True;Productivity;Co-operation and Communication;;
569647;Tietotyön tehotreeni: Microsoft Teams;20.12.2019;20.12.2019;Online;;Kaikki tiimityöhön tarvittavat työkalut yhdessä paikassa!Koulutuksen kesto on 1 tunti klo 9.00 - 10.00;True;Productivity;Co-operation and Communication;;
569648;Tietotyön tehotreeni: OneDrive for Business;19.9.2019;19.9.2019;Online;;Moderni tapa tallentaa henkilökohtaisia työtiedostoja!Koulutuksen kesto on 1 tunti klo 10.30 - 11.30;True;Productivity;Co-operation and Communication;;
569649;Tietotyön tehotreeni: OneDrive for Business;15.10.2019;15.10.2019;Online;;Moderni tapa tallentaa henkilökohtaisia työtiedostoja!Koulutuksen kesto on 1 tunti klo 10.30 - 11.30;True;Productivity;Co-operation and Communication;;
569650;Tietotyön tehotreeni: OneDrive for Business;26.11.2019;26.11.2019;Online;;Moderni tapa tallentaa henkilökohtaisia työtiedostoja!Koulutuksen kesto on 1 tunti klo 10.30 - 11.30;True;Productivity;Co-operation and Communication;;
569651;Tietotyön tehotreeni: OneDrive for Business;20.12.2019;20.12.2019;Online;;Moderni tapa tallentaa henkilökohtaisia työtiedostoja!Koulutuksen kesto on 1 tunti klo 10.30 - 11.30;True;Productivity;Co-operation and Communication;;
569323;SLE301 SUSE Linux Enterprise Server 12 Advanced Administration;9.9.2019;11.9.2019;Pasila;PDF;;True;;;;
569096;AI-100T01 Designing and Implementing an Azure AI Solution;30.10.2019;31.10.2019;Pasila;PDF;Opi Azuren kognitiiviset  ja Bot -palvelut;True;Technology;Databases and Analytics;Reporting and BI;
569097;AI-100T01 Designing and Implementing an Azure AI Solution;30.10.2019;31.10.2019;Online;PDF;Opi Azuren kognitiiviset  ja Bot -palvelut;True;Technology;Databases and Analytics;Reporting and BI;
570006;AI-100T01 Designing and Implementing an Azure AI Solution;6.11.2019;7.11.2019;Pasila;PDF;Opi Azuren kognitiiviset  ja Bot -palvelut;True;Technology;Databases and Analytics;Reporting and BI;
570007;AI-100T01 Designing and Implementing an Azure AI Solution;6.11.2019;7.11.2019;Online;PDF;Opi Azuren kognitiiviset  ja Bot -palvelut;True;Technology;Databases and Analytics;Reporting and BI;
570008;AI-100T01 Designing and Implementing an Azure AI Solution;20.1.2020;21.1.2020;Pasila;PDF;Opi Azuren kognitiiviset  ja Bot -palvelut;True;Technology;Databases and Analytics;Reporting and BI;
570009;AI-100T01 Designing and Implementing an Azure AI Solution;20.1.2020;21.1.2020;Online;PDF;Opi Azuren kognitiiviset  ja Bot -palvelut;True;Technology;Databases and Analytics;Reporting and BI;
570011;AI-100T01 Designing and Implementing an Azure AI Solution;17.3.2020;18.3.2020;Online;PDF;Opi Azuren kognitiiviset  ja Bot -palvelut;True;Technology;Databases and Analytics;Reporting and BI;
570010;AI-100T01 Designing and Implementing an Azure AI Solution;17.3.2020;18.3.2020;Pasila;PDF;Opi Azuren kognitiiviset  ja Bot -palvelut;True;Technology;Databases and Analytics;Reporting and BI;
569095;DP-201T01 Designing an Azure Data Solution ;7.10.2019;8.10.2019;Pasila;PDF;Tämä kurssi on jatkoa kurssille DP-200T01 Implementing an Azure Data Solution. Tässä kurssissa opit suunnitelemaan Azure Data Platform alustan palveluita.;True;Technology;Databases and Analytics;Database Administration;
569098;DP-201T01 Designing an Azure Data Solution;7.10.2019;8.10.2019;Online;PDF;Tämä kurssi on jatkoa kurssille DP-200T01 Implementing an Azure Data Solution. Tässä kurssissa opit suunnitelemaan Azure Data Platform alustan palveluita.;True;Technology;Databases and Analytics;Database Administration;
570120;DP-201T01 Designing an Azure Data Solution;19.3.2020;20.3.2020;Online;PDF;Tämä kurssi on jatkoa kurssille DP-200T01 Implementing an Azure Data Solution. Tässä kurssissa opit suunnitelemaan Azure Data Platform alustan palveluita.;True;Technology;Databases and Analytics;Database Administration;
569841;DP-201T01 Designing an Azure Data Solution;4.12.2019;5.12.2019;Pasila;PDF;Tämä kurssi on jatkoa kurssille DP-200T01 Implementing an Azure Data Solution. Tässä kurssissa opit suunnitelemaan Azure Data Platform alustan palveluita.;True;Technology;Databases and Analytics;Database Administration;
569842;DP-201T01 Designing an Azure Data Solution;4.12.2019;5.12.2019;Online;PDF;Tämä kurssi on jatkoa kurssille DP-200T01 Implementing an Azure Data Solution. Tässä kurssissa opit suunnitelemaan Azure Data Platform alustan palveluita.;True;Technology;Databases and Analytics;Database Administration;
570117;DP-201T01 Designing an Azure Data Solution;30.1.2020;31.1.2020;Pasila;PDF;Tämä kurssi on jatkoa kurssille DP-200T01 Implementing an Azure Data Solution. Tässä kurssissa opit suunnitelemaan Azure Data Platform alustan palveluita.;True;Technology;Databases and Analytics;Database Administration;
570118;DP-201T01 Designing an Azure Data Solution;30.1.2020;31.1.2020;Online;PDF;Tämä kurssi on jatkoa kurssille DP-200T01 Implementing an Azure Data Solution. Tässä kurssissa opit suunnitelemaan Azure Data Platform alustan palveluita.;True;Technology;Databases and Analytics;Database Administration;
570119;DP-201T01 Designing an Azure Data Solution;19.3.2020;20.3.2020;Pasila;PDF;Tämä kurssi on jatkoa kurssille DP-200T01 Implementing an Azure Data Solution. Tässä kurssissa opit suunnitelemaan Azure Data Platform alustan palveluita.;True;Technology;Databases and Analytics;Database Administration;
569497;Analytics Value Training;23.9.2019;25.9.2020;Pasila;;Luo organisaatioon kulttuuri ja toimintamallit, joilla data-analytiikalla voidaan ratkoa liiketoiminnan haasteita. Tämä liiketoiminnan kehittämisen ohjelma on kestoltaan vuoden mittainen.;True;Leadership;Leadership Skills;;
569052;DP-200T01 Implementing an Azure Data Solution;4.9.2019;6.9.2019;Pasila;PDF;Nyt on aika päivittää Azure Data Platform -osaaminen. Kaikki tärkeimmät tavat tallettaa ja käsitellä Big dataa Azuressa: Databrics, Data Lake, Data Factory, CosmosDB ja paljon muuta.;True;Technology;Databases and Analytics;Database Administration;
569053;DP-200T01 Implementing an Azure Data Solution;4.9.2019;6.9.2019;Online;PDF;Nyt on aika päivittää Azure Data Platform -osaaminen. Kaikki tärkeimmät tavat tallettaa ja käsitellä Big dataa Azuressa: Databrics, Data Lake, Data Factory, CosmosDB ja paljon muuta.;True;Technology;Databases and Analytics;Database Administration;
569839;DP-200T01 Implementing an Azure Data Solution;13.11.2019;14.11.2019;Pasila;PDF;Nyt on aika päivittää Azure Data Platform -osaaminen. Kaikki tärkeimmät tavat tallettaa ja käsitellä Big dataa Azuressa: Databrics, Data Lake, Data Factory, CosmosDB ja paljon muuta.;True;Technology;Databases and Analytics;Database Administration;
569840;DP-200T01 Implementing an Azure Data Solution;13.11.2019;14.11.2019;Online;PDF;Nyt on aika päivittää Azure Data Platform -osaaminen. Kaikki tärkeimmät tavat tallettaa ja käsitellä Big dataa Azuressa: Databrics, Data Lake, Data Factory, CosmosDB ja paljon muuta.;True;Technology;Databases and Analytics;Database Administration;
570068;DP-200T01 Implementing an Azure Data Solution;16.1.2020;17.1.2020;Pasila;PDF;Nyt on aika päivittää Azure Data Platform -osaaminen. Kaikki tärkeimmät tavat tallettaa ja käsitellä Big dataa Azuressa: Databrics, Data Lake, Data Factory, CosmosDB ja paljon muuta.;True;Technology;Databases and Analytics;Database Administration;
570069;DP-200T01 Implementing an Azure Data Solution;16.1.2020;17.1.2020;Online;PDF;Nyt on aika päivittää Azure Data Platform -osaaminen. Kaikki tärkeimmät tavat tallettaa ja käsitellä Big dataa Azuressa: Databrics, Data Lake, Data Factory, CosmosDB ja paljon muuta.;True;Technology;Databases and Analytics;Database Administration;
570091;DP-200T01 Implementing an Azure Data Solution;12.3.2020;13.3.2020;Pasila;PDF;Nyt on aika päivittää Azure Data Platform -osaaminen. Kaikki tärkeimmät tavat tallettaa ja käsitellä Big dataa Azuressa: Databrics, Data Lake, Data Factory, CosmosDB ja paljon muuta.;True;Technology;Databases and Analytics;Database Administration;
570092;DP-200T01 Implementing an Azure Data Solution;12.3.2020;13.3.2020;Online;PDF;Nyt on aika päivittää Azure Data Platform -osaaminen. Kaikki tärkeimmät tavat tallettaa ja käsitellä Big dataa Azuressa: Databrics, Data Lake, Data Factory, CosmosDB ja paljon muuta.;True;Technology;Databases and Analytics;Database Administration;
568964;Power Queryn perusteet;16.9.2019;16.9.2019;Online;PDF;Oletko törmännyt Excelissä tai Power BI:ssa tilanteeseen, jossa taulukon rakenne ja sisältö ei sellaisenaan ole käyttökelpoista vaan vaatii korjausta? Power Queryn avulla saat taulukon käyttökelpoiseen kuntoon ilman jatkuvaa manuaalista korjaamista.;True;Technology;Databases and Analytics;Reporting and BI;
568963;Power Queryn perusteet;16.9.2019;16.9.2019;Pasila;PDF;Oletko törmännyt Excelissä tai Power BI:ssa tilanteeseen, jossa taulukon rakenne ja sisältö ei sellaisenaan ole käyttökelpoista vaan vaatii korjausta? Power Queryn avulla saat taulukon käyttökelpoiseen kuntoon ilman jatkuvaa manuaalista korjaamista.;True;Technology;Databases and Analytics;Reporting and BI;
568992;Power Queryn perusteet;11.11.2019;11.11.2019;Online;PDF;Oletko törmännyt Excelissä tai Power BI:ssa tilanteeseen, jossa taulukon rakenne ja sisältö ei sellaisenaan ole käyttökelpoista vaan vaatii korjausta? Power Queryn avulla saat taulukon käyttökelpoiseen kuntoon ilman jatkuvaa manuaalista korjaamista.;True;Technology;Databases and Analytics;Reporting and BI;
